//**Error Message,Error Code,Error defined in .h,Error description in Chinese,Error description in English,Is in CIM
Format_Userdata_Fail,DOWL1017,DLErr_Format_Userdata_Fail,格式化userdata失败,Format userdata Fail,Y
Format_Inner_SD_Fail,DOWL1018,DLErr_Format_Inner_SD_Fail,格式化inner SD失败,Format inner SD fail,Y
Format_Drm_Fail,DOWL1019,DLErr_Format_Drm_Fail,格式化Drm失败,Format Drm Fail,Y
DL_Qlogfilter_Fail,DOWL1020,DLErr_DL_Qlogfilter_Fail,下载Qlogfilter失败,Download Qlogfilter Fail,Y
Format_Qglog_Fail,DOWL1021,DLErr_Format_Qglog_Fail,格式化Qglog失败,Format Qglog Fail,Y
Format_Pad2_Fail,DOWL1022,DLErr_Format_Pad2_Fail,格式化Pad2失败,Format Pad2 Fail,Y
Send_OEMCMD_Fail,DOWL1023,DLErr_DL_Send_OEMCMD_Fail,执行OEMCMD失败,Send OEMCMD Fail,Y
Send_Reset_Fail,DOWL1024,DLErr_DL_Send_Reset_Fail,执行reset失败,Send Reset Fail,Y
DL_Invalid_Slot,DOWL1025,DLErr_DL_Invalid_Slot,非法端口,Invalid slot,N
Erase_Recovery_Fail,DOWL1026,DLErr_Erase_Recovery_Fail,清除 Recovery 失败,Erase Recovery Fail,Y
Erase_Cache_Fail,DOWL1027,DLErr_Erase_Cache_Fail,清除 Cache 失败,Erase Cache Fail,Y
Erase_Swap_Fail,DOWL1028,DLErr_Erase_Swap_Fail,清除 Swap 失败,Erase Swap Fail,Y
Clean_adb_fastboot_Fail,DOWL1029,DLErr_Clean_adb_fastboot_Fail,刪除 adb.exe 和 fastboot.exe 失敗,Clean adb.exe and fastboot.exe fail,Y
Format_Qcust_Fail,DOWL1030,DLErr_Format_Qcust_Fail,格式化Qcust失败,Format Qcust Fail,Y
